A,B
date,open
02jan2020,13.57977
03jan2020,13.7813
06jan2020,14.39551
07jan2020,14.57786
08jan2020,14.28995
09jan2020,14.32833
10jan2020,13.98284
13jan2020,13.77171
14jan2020,13.82929
15jan2020,13.61815
16jan2020,13.55098
17jan2020,13.42621
20jan2020,13.51259
21jan2020,13.58936
22jan2020,13.4742
23jan2020,12.99435
03feb2020,11.69875
04feb2020,12.60087
05feb2020,12.66805
06feb2020,13.51259
07feb2020,14.098
10feb2020,14.35712
11feb2020,14.29954
12feb2020,15.7295
13feb2020,17.30341
14feb2020,17.08267
17feb2020,18.06157
18feb2020,19.08845
19feb2020,18.25351
20feb2020,18.6182
21feb2020,18.20552
24feb2020,18.19593
25feb2020,18.23432
26feb2020,17.38018
27feb2020,17.6489
28feb2020,16.55484
02mar2020,16.6796
03mar2020,16.91953
04mar2020,16.25733
05mar2020,16.48766
06mar2020,16.17096
09mar2020,14.58745
10mar2020,15.16327
11mar2020,14.99053
12mar2020,14.46269
13mar2020,14.16518
16mar2020,12.90798
17mar2020,12.66805
18mar2020,12.64886
19mar2020,12.93677
20mar2020,12.73523
23mar2020,11.45883
24mar2020,11.29568
25mar2020,11.64117
26mar2020,11.05575
27mar2020,11.56439
30mar2020,11.19011
31mar2020,11.14213
01apr2020,11.37245
02apr2020,12.12102
03apr2020,11.73714
07apr2020,12.23619
08apr2020,12.02505
09apr2020,11.79472
10apr2020,11.30527
13apr2020,10.84462
14apr2020,11.38205
15apr2020,11.42044
16apr2020,11.67956
17apr2020,12.30336
20apr2020,12.23619
21apr2020,12.07304
22apr2020,12.63926
23apr2020,12.75442
24apr2020,12.21699
27apr2020,12.55289
28apr2020,13.21508
29apr2020,13.60856
30apr2020,14.50108
06may2020,14.49148
07may2020,14.37632
08may2020,14.06921
11may2020,13.72372
12may2020,14.45309
13may2020,14.05002
14may2020,13.54138
15may2020,13.50299
18may2020,13.89647
19may2020,14.06921
20may2020,13.86768
21may2020,13.02314
22may2020,12.77362
25may2020,12.68725
26may2020,12.98946
27may2020,12.96998
28may2020,12.74603
29may2020,13.34
01jun2020,13.87555
02jun2020,13.73922
03jun2020,13.61264
04jun2020,13.67106
05jun2020,13.59317
08jun2020,14.39162
09jun2020,14.4403
10jun2020,14.55715
11jun2020,14.74216
12jun2020,14.47925
15jun2020,14.50846
16jun2020,14.71295
17jun2020,14.43057
18jun2020,14.47925
19jun2020,14.47925
22jun2020,15.31665
23jun2020,16.008
24jun2020,16.74803
29jun2020,16.94277
30jun2020,16.9233
01jul2020,17.69254
02jul2020,18.53968
03jul2020,18.51046
06jul2020,19.08496
07jul2020,19.08496
08jul2020,19.28944
09jul2020,19.64972
10jul2020,19.26023
13jul2020,19.9321
14jul2020,19.33813
15jul2020,20.51633
16jul2020,18.70521
17jul2020,19.47445
20jul2020,21.42189
21jul2020,22.48325
22jul2020,22.1814
23jul2020,24.05095
24jul2020,22.98959
27jul2020,23.9341
28jul2020,23.0967
29jul2020,24.11911
30jul2020,26.53394
31jul2020,26.58262
03aug2020,26.74816
04aug2020,25.4531
05aug2020,25.62837
06aug2020,24.2749
07aug2020,24.9273
10aug2020,25.58943
11aug2020,23.78804
12aug2020,22.72668
13aug2020,22.77537
14aug2020,22.85327
17aug2020,22.65852
18aug2020,22.68773
19aug2020,21.9477
20aug2020,21.55821
21aug2020,22.23057
24aug2020,23.51588
25aug2020,22.84402
26aug2020,21.34448
27aug2020,22.59085
28aug2020,23.04801
31aug2020,23.75883
01sep2020,24.82992
02sep2020,24.55728
03sep2020,23.65172
04sep2020,23.15512
07sep2020,22.54167
08sep2020,23.40829
09sep2020,22.39562
10sep2020,21.91849
11sep2020,24.10937
14sep2020,24.34306
15sep2020,24.34306
16sep2020,24.41122
17sep2020,24.44043
18sep2020,24.197
21sep2020,23.8562
22sep2020,23.52514
23sep2020,24.9273
24sep2020,23.66146
25sep2020,24.15805
28sep2020,26.07629
29sep2020,26.19313
30sep2020,25.88154
09oct2020,28.47165
12oct2020,29.30905
13oct2020,30.27303
14oct2020,30.75989
15oct2020,28.93903
16oct2020,27.95557
19oct2020,26.48525
20oct2020,27.41029
21oct2020,27.29344
22oct2020,26.95264
23oct2020,27.15712
26oct2020,28.82219
27oct2020,29.48432
28oct2020,30.00039
29oct2020,29.77643
30oct2020,29.89328
02nov2020,31.35386
