A,B,C,D,E,F,G,H,I,J,K
÷§»Ø¥˙¬Î,÷§»Ø√˚≥∆,Ωª“◊ ±º‰,ø™≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€, ’≈Ãº€,’«µ¯,’«µ¯∑˘%,≥…Ωª¡ø,≥…Ωª∂Ó
600760,÷–∫Ω…Ú∑…,2-Jan-20,120.2338,121.7806,118.9889,119.9697,0.7545166,0.632903,8138775,"259,471,132.00 "
600760,÷–∫Ω…Ú∑…,3-Jan-20,120.2715,124.2705,119.3661,123.5915,3.621727,3.018867,16751728,"543,653,168.00 "
600760,÷–∫Ω…Ú∑…,6-Jan-20,126.1191,129.024,124.3837,125.0628,1.471336,1.190484,17125229,"572,508,496.00 "
600760,÷–∫Ω…Ú∑…,7-Jan-20,124.5723,126.5718,122.9878,125.1382,0.07543945,0.06032126,8738074,"290,171,120.00 "
600760,÷–∫Ω…Ú∑…,8-Jan-20,128.345,128.9109,124.2328,126.4587,1.320435,1.055181,15494704,"521,662,368.00 "
600760,÷–∫Ω…Ú∑…,9-Jan-20,122.9878,123.3651,121.1393,122.2333,-4.225349,-3.341289,10090357,"327,110,464.00 "
600760,÷–∫Ω…Ú∑…,10-Jan-20,121.856,122.9124,118.8379,120.6111,-1.622238,-1.327165,12117895,"387,043,568.00 "
600760,÷–∫Ω…Ú∑…,13-Jan-20,121.856,121.856,119.2907,120.4224,-0.1886292,-0.1563946,5772752,"183,675,848.00 "
600760,÷–∫Ω…Ú∑…,14-Jan-20,120.4224,121.2524,118.0834,118.3098,-2.112671,-1.754383,8325283,"263,459,006.00 "
600760,÷–∫Ω…Ú∑…,15-Jan-20,118.2343,118.5361,115.5557,116.1971,-2.112679,-1.785718,9487001,"293,110,784.00 "
600760,÷–∫Ω…Ú∑…,16-Jan-20,116.4989,118.1211,115.1408,115.3671,-0.8299789,-0.7142854,9030288,"278,726,480.00 "
600760,÷–∫Ω…Ú∑…,17-Jan-20,115.4426,116.4989,114.4617,115.8576,0.4904404,0.4251128,6717747,"206,071,177.00 "
600760,÷–∫Ω…Ú∑…,20-Jan-20,115.7821,118.0834,115.4426,117.2912,1.433601,1.237383,7497165,"232,202,943.00 "
600760,÷–∫Ω…Ú∑…,21-Jan-20,117.3289,117.3289,112.7263,113.3299,-3.961258,-3.377286,12703562,"384,503,584.00 "
600760,÷–∫Ω…Ú∑…,22-Jan-20,113.179,113.4808,110.6513,112.8017,-0.5281754,-0.4660512,7141440,"212,040,410.00 "
600760,÷–∫Ω…Ú∑…,23-Jan-20,111.2927,113.9335,108.6518,109.4064,-3.39537,-3.010034,9004640,"264,443,576.00 "
600760,÷–∫Ω…Ú∑…,3-Feb-20,98.46572,99.25797,98.46572,98.46572,-10.94064,-10,10939545,"285,728,368.00 "
600760,÷–∫Ω…Ú∑…,4-Feb-20,94.31583,100.5784,94.31583,100.0502,1.584511,1.6092,14098231,"369,324,944.00 "
600760,÷–∫Ω…Ú∑…,5-Feb-20,100.0125,104.5774,99.82387,100.8802,0.8299789,0.8295622,13573861,"366,785,648.00 "
600760,÷–∫Ω…Ú∑…,6-Feb-20,101.2952,103.4456,100.0125,102.842,1.961769,1.944652,11456514,"310,263,648.00 "
600760,÷–∫Ω…Ú∑…,7-Feb-20,102.8043,103.5588,101.4084,103.3701,0.5281677,0.5135721,11485942,"311,504,272.00 "
600760,÷–∫Ω…Ú∑…,10-Feb-20,102.9929,104.9169,102.427,104.8792,1.509048,1.459849,11328253,"310,718,592.00 "
600760,÷–∫Ω…Ú∑…,11-Feb-20,105.2565,105.4451,103.1815,103.257,-1.622223,-1.546754,10676772,"293,870,944.00 "
600760,÷–∫Ω…Ú∑…,12-Feb-20,103.257,103.2947,101.8611,103.0683,-0.1886368,-0.1826867,12243611,"332,914,464.00 "
600760,÷–∫Ω…Ú∑…,13-Feb-20,103.5588,104.1247,101.182,101.4838,-1.584511,-1.53734,13996248,"380,130,112.00 "
600760,÷–∫Ω…Ú∑…,14-Feb-20,101.3707,102.3893,100.767,101.6347,0.1509094,0.1487029,10093229,"271,730,672.00 "
600760,÷–∫Ω…Ú∑…,17-Feb-20,102.6156,111.5945,102.6156,111.1795,9.544762,9.39124,28683395,"817,908,784.00 "
600760,÷–∫Ω…Ú∑…,18-Feb-20,112.4245,112.9904,107.52,108.7273,-2.452209,-2.205631,26491341,"770,383,648.00 "
600760,÷–∫Ω…Ú∑…,19-Feb-20,107.3314,110.84,106.011,108.1237,-0.6036224,-0.5551711,20227318,"582,278,176.00 "
600760,÷–∫Ω…Ú∑…,20-Feb-20,108.3123,109.3309,106.3883,108.9536,0.8299789,0.7676201,16245758,"464,599,072.00 "
600760,÷–∫Ω…Ú∑…,21-Feb-20,109.0668,110.7268,108.2746,110.5759,1.622231,1.488918,20823412,"604,601,840.00 "
600760,÷–∫Ω…Ú∑…,24-Feb-20,110.5381,113.1035,109.0291,112.4999,1.924042,1.740019,20727483,"609,387,536.00 "
600760,÷–∫Ω…Ú∑…,25-Feb-20,110.1609,111.1418,106.426,109.4441,-3.055832,-2.716297,18589784,"538,665,072.00 "
600760,÷–∫Ω…Ú∑…,26-Feb-20,107.8973,112.9526,106.841,110.2363,0.7922516,0.7238871,23905708,"701,877,872.00 "
600760,÷–∫Ω…Ú∑…,27-Feb-20,110.5381,112.4245,107.6332,109.6327,-0.6036224,-0.5475712,16371601,"477,290,176.00 "
600760,÷–∫Ω…Ú∑…,28-Feb-20,106.5769,108.1991,102.8043,104.8792,-4.753517,-4.335856,20215747,"565,080,160.00 "
