÷§»Ø¥˙¬Î,÷§»Ø√˚≥∆,Ωª“◊ ±º‰,ø™≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€, ’≈Ãº€,’«µ¯,’«µ¯∑˘%,≥…Ωª¡ø,≥…Ωª∂Ó
600760,÷–∫Ω…Ú∑…,2020-01-02,22.4241,22.7126,22.1919,22.3748,0.1407,0.6329,"8,138,775","259,471,132"
600760,÷–∫Ω…Ú∑…,2020-01-03,22.4311,23.1770,22.2623,23.0503,0.6755,3.0189,"16,751,728","543,653,168"
600760,÷–∫Ω…Ú∑…,2020-01-06,23.5217,24.0635,23.1981,23.3247,0.2744,1.1905,"17,125,229","572,508,496"
600760,÷–∫Ω…Ú∑…,2020-01-07,23.2332,23.6062,22.9377,23.3388,0.0141,0.0603,"8,738,074","290,171,120"
600760,÷–∫Ω…Ú∑…,2020-01-08,23.9369,24.0424,23.1699,23.5851,0.2463,1.0552,"15,494,704","521,662,368"
600760,÷–∫Ω…Ú∑…,2020-01-09,22.9377,23.0081,22.5930,22.7970,-0.7880,-3.3413,"10,090,357","327,110,464"
600760,÷–∫Ω…Ú∑…,2020-01-10,22.7266,22.9237,22.1638,22.4945,-0.3026,-1.3272,"12,117,895","387,043,568"
600760,÷–∫Ω…Ú∑…,2020-01-13,22.7266,22.7266,22.2482,22.4593,-0.0352,-0.1564,"5,772,752","183,675,848"
600760,÷–∫Ω…Ú∑…,2020-01-14,22.4593,22.6141,22.0230,22.0653,-0.3940,-1.7544,"8,325,283","263,459,006"
600760,÷–∫Ω…Ú∑…,2020-01-15,22.0512,22.1075,21.5516,21.6712,-0.3940,-1.7857,"9,487,001","293,110,784"
600760,÷–∫Ω…Ú∑…,2020-01-16,21.7275,22.0301,21.4742,21.5164,-0.1548,-0.7143,"9,030,288","278,726,480"
600760,÷–∫Ω…Ú∑…,2020-01-17,21.5305,21.7275,21.3476,21.6079,0.0915,0.4251,"6,717,747","206,071,177"
600760,÷–∫Ω…Ú∑…,2020-01-20,21.5938,22.0230,21.5305,21.8753,0.2674,1.2374,"7,497,165","232,202,943"
600760,÷–∫Ω…Ú∑…,2020-01-21,21.8823,21.8823,21.0239,21.1365,-0.7388,-3.3773,"12,703,562","384,503,584"
600760,÷–∫Ω…Ú∑…,2020-01-22,21.1083,21.1646,20.6369,21.0380,-0.0985,-0.4660,"7,141,440","212,040,410"
600760,÷–∫Ω…Ú∑…,2020-01-23,20.7565,21.2491,20.2640,20.4047,-0.6333,-3.0100,"9,004,640","264,443,576"
600760,÷–∫Ω…Ú∑…,2020-02-03,18.3643,18.5120,18.3643,18.3643,-2.0405,-10.0000,"10,939,545","285,728,368"
600760,÷–∫Ω…Ú∑…,2020-02-04,17.5903,18.7583,17.5903,18.6598,0.2955,1.6092,"14,098,231","369,324,944"
600760,÷–∫Ω…Ú∑…,2020-02-05,18.6527,19.5041,18.6176,18.8146,0.1548,0.8296,"13,573,861","366,785,648"
600760,÷–∫Ω…Ú∑…,2020-02-06,18.8920,19.2930,18.6527,19.1804,0.3659,1.9446,"11,456,514","310,263,648"
600760,÷–∫Ω…Ú∑…,2020-02-07,19.1734,19.3141,18.9131,19.2790,0.0985,0.5136,"11,485,942","311,504,272"
600760,÷–∫Ω…Ú∑…,2020-02-10,19.2086,19.5674,19.1030,19.5604,0.2814,1.4599,"11,328,253","310,718,592"
600760,÷–∫Ω…Ú∑…,2020-02-11,19.6308,19.6659,19.2438,19.2578,-0.3026,-1.5468,"10,676,772","293,870,944"
600760,÷–∫Ω…Ú∑…,2020-02-12,19.2578,19.2649,18.9975,19.2227,-0.0352,-0.1827,"12,243,611","332,914,464"
600760,÷–∫Ω…Ú∑…,2020-02-13,19.3141,19.4197,18.8709,18.9271,-0.2955,-1.5373,"13,996,248","380,130,112"
600760,÷–∫Ω…Ú∑…,2020-02-14,18.9060,19.0960,18.7935,18.9553,0.0281,0.1487,"10,093,229","271,730,672"
600760,÷–∫Ω…Ú∑…,2020-02-17,19.1382,20.8128,19.1382,20.7354,1.7801,9.3912,"28,683,395","817,908,784"
600760,÷–∫Ω…Ú∑…,2020-02-18,20.9676,21.0732,20.0529,20.2781,-0.4573,-2.2056,"26,491,341","770,383,648"
600760,÷–∫Ω…Ú∑…,2020-02-19,20.0177,20.6721,19.7715,20.1655,-0.1126,-0.5552,"20,227,318","582,278,176"
600760,÷–∫Ω…Ú∑…,2020-02-20,20.2007,20.3907,19.8418,20.3203,0.1548,0.7676,"16,245,758","464,599,072"
600760,÷–∫Ω…Ú∑…,2020-02-21,20.3414,20.6510,20.1936,20.6228,0.3026,1.4889,"20,823,412","604,601,840"
600760,÷–∫Ω…Ú∑…,2020-02-24,20.6158,21.0943,20.3344,20.9817,0.3588,1.7400,"20,727,483","609,387,536"
600760,÷–∫Ω…Ú∑…,2020-02-25,20.5455,20.7284,19.8489,20.4118,-0.5699,-2.7163,"18,589,784","538,665,072"
